Kanji,Expression,Author,Name,Words
件,"The PERSON and the COW had an AFFAIR, CASE or MATTER",KEN,kudan,事件。条件。用件。件数。案件
制,"The COW with a SCARF and a SWORD made a SYSTEM, LAW or RULE",SEI,.,制度。制服。規制。強制。統制
製,A SYSTEM of DRESS was MANUFACTURED or MADE IN,SEI,.,製品。製造。製作。製法。精製
休,A PERSON beside a TREE is RESTING,KYUU,yasu,製品。製造。製作。製法。精製
本,"Cutting down a TREE into a BOOK, PRESENT, MAIN or ORIGIN",HON,moto,休む。休暇。休憩。休息。休養
体,A PERSON with a BOOK has BODY and SUBSTANCE,TAI,karada,体温。体育。液体。体積。体制
憩,"A TONGUE and ONESELF sharing a HEART is in RECESS, RELAX, RELAX and POSE",KEI,iko,休憩。憩う。休憩所。一服休憩。小憩
息,ONESELF with a HEART can BREATH and RESPIRE,SOKU,iki,ため息。利息。窒息。生息。喘息
養,"A SHEEP that EATS can be FOSTER, BRING UP, REAR, DEVELOP and NORTURE",YOU,yashina,栄養。教養。養成。養う。療養
命,"Inside a ROOF is a MOUTH with a SEAL that is your FATE, DESTINY, LIFE and COMMAND","MEI, MYOU",inochi,命。運命。命じる。生命。救命
禁,TWO TREES SHOWING are FORBIDDEN,KIN,.,禁煙。禁止。禁物。監禁。厳禁
枚,A TREE and a FOLDING CHAIR are SHEETS,MAI,.,枚数。三枚。二枚舌。二枚目。大枚
乳,A CLAW CHILD with a HOOK likes MILK or BREAST,NYUU,chichi.chi,牛乳。乳房。乳首。母乳。哺乳
荒,"A GRASS with DYING RIVER are LAID WASTE, ROUGH, RUDE and WILD",KOU,ara.a,荒い。荒廃。荒波。荒天。荒野
床,Inside a STONE CLIFF is a TREE for its FLOOR and BEDS,SHOU,yuka.toko,床屋。起床。病床。床下。寝床
詰,To SAY GOOD LUCK is PACKED and FULL OF,KITSU,tsu,缶詰。詰める。大詰め。瓶詰め。詰問
厚,"Inside the CLIFF is a DAY CHILD which is THICK, HEAVY, RICH and KIND",KOU,atsu,厚い。濃厚。温厚。厚着。厚生
栄,A HEAD CROWN TREE is set to FLOURISH and PROSPER,EI,saka.ha,栄養。繁栄。光栄。見栄。栄誉
順,"A RIVER beside a PAGE LEAF is in ORDER, in SEQUENCE and OBEYS",JUN,.,順調。順番。順序。道順。手順
則,A SHELLFISH and SWORD creates its RULE and REGULATION ,SOKU,notto,規則。法則。原則。校則。則る
皮,"An integration of CLIFF and SUPPORT resulted a SKIN, FUR and LEATHER",HI,kawa,皮膚。毛皮。皮肉。皮革。樹皮
輸,A CAR in a ROOF with a MOON and a SWORD inside TRANSPORTS and SEND,YU,.,輸入。輸出。輸血。輸送。密輸
濃,"With WATER the FARMERS are RICH, CONCENTRATED, THICK, DEEP and DENSE",NOU,ko,濃い。濃度。濃霧。濃縮。濃淡
孫,The CHILD in your LINEAGE is your GRANDCHILD and DESCENDANDTS,SON,mago,子孫。姪孫。天孫。孫娘。孫子
黄,A DOUBLE LAND with REASON LEGS are YELLOW and AMBER,KOU.OU,ki,黄色。黄金。硫黄。黄身。卵黄
丈,"A PERSON with stretched HANDS and LEGS have LENGTH, HEIGHT and STATURE",JOU,take,丈夫。頑丈。背丈。身丈。膝
採,"A HAND with CLAW TREE do PICK, TAKE, FETCH and TAKE UP",SAI,to,採点。採る。採用。採択。採算
届,The DOOR with REASON DELIVERS and ARRIVES,.,todo,届ける。届く。届け出。変更届。見届ける
簡,A BAMBOO in an INTERVAL SPACE depicts SIMPLICITY and BREVITY,KAN,.,簡単。簡潔。簡素。簡易。簡略
絡,"The THREAD in EACH and EVERY does ENTWINE, COIL AROUND and got CAUGHT IN",RAKU,kara,連絡。絡む。連絡先。短絡。脈絡
傾,"A PERSON who’s ABOUT to INCLINE, LEAN, TILT, TREND and SINK",KEI,katamu,傾向。傾く。傾ける。傾注。傾げる
鼻,ONESELF has a RICE PADDY in TWENTIES under his NOSE ,BI,hana,鼻。鼻血。鼻水。鼻歌。鼻先
宝,"A SHAPED CROWN JEWEL is a TREASURE, WEALTH and VALUABLE",HOU,takara,宝石。 宝。重宝。国宝。宝くじ
患,"A SKEWER HEART is AFFLICTED, ILL, and SUFFER",KAN,wazura,患者。患 。急患。罹患率。疾患
延,A LONG STRIDE CORRECTS your STRETCHING,EN,no,延期。延ばす。延びる。延長。遅延
律,A ROAD END with TRIDENT SKEWERS have RHYTHM< LAW< REGULATION< GAUGE and CONTROL,RITSU,.,法律。規律。韻律。旋律。一律
希,"A X-CROSSED LINEN CLOTH is RARE, PHENOMENAL, HOPED and REQUESTED ",KI,.,希望。希薄。 希少。希望者。希少性
甘,A BUCKET of SWEETS must be SWEET and SUGARY,KAN,ama,甘い。甘やかす。甘える。甘口。甘言
湾,"A WATER ONCE AGAIN BOW is in the GULF, BAY and INLET",WAN,.,湾。湾岸。湾曲。港湾。台湾
