Question,A,B,C,D
「秋」という言葉から、何を【連想】しますか。,🅰 せんそう,🅱 れんそう,🅲 れんぞう,🅳 れんそ
週末ゆっくり【休息】してください。,🅰 きゅうそく,🅱 きゅういき,🅲 きゅそく,🅳 きゅそくう
時間が【経つ】のは遠いものですね。,🅰 へつ,🅱 たつ,🅲 もつ,🅳 けつ
国の大統領は、日本御印象を次のように【述べた】。,🅰 もべた,🅱 ぬべた,🅲 のべた,🅳 むべた
電子レンジは、50年前は珍しかったが、今ではどこの家にでもある＿＿電化製品です。,🅰 ありふれた,🅱 おだやかな,🅲 なつかしい,🅳 ふさわしい
風邪＿なので、今日は早く寝よう。,🅰 げ,🅱 がち,🅲 ぬ,🅳 ぎみ
【やちん】はいくらですか。,🅰 家貧,🅱 家貨,🅲 家賃,🅳 家費
風邪をひいたのか熱っぽいし体が＿＿。,🅰 みっともない,🅱 やっかいだ,🅲 だるい,🅳 だらしない
京都へは、中学の修学旅行で＿＿行っていない。,🅰 行かないきり,🅱 行ったきり,🅲 行きっきり,🅳 行ってきり
コーヒーが濃過ぎたので、お湯で薄めた。,🅰 うすめた,🅱 うめた,🅲 ぬるめた,🅳 さめた
＿＿ばかりいると、そのうちにけがをするから、大人しく座っていなさい。,🅰 はりきって,🅱 つぶして,🅲 だまして,🅳 ふざけて
田中さんの結婚祝いを買いますから、一人＿＿１０００円ずつ集めます。,🅰 につき,🅱 にのみ,🅲 でこそ,🅳 でさえ
