Exp,Freq,Word,Meaning,Type
17 事 thing,17,事,thing,Noun
38 物 thing-object-stuff,38,物,thing-object-stuff,Noun
54 時 time,54,時,time,Noun
58 人 person-people-human.being,58,人,person-people-human.being,Noun
69 今 now,69,今,now,Noun
71 所 place-point-part-aspect,71,所,place-point-part-aspect,Noun
72 自分 oneself,72,自分,oneself,Noun
78 中 inside-in-into,78,中,inside-in-into,Noun
83 後 after-later,83,後,after-later,Noun
91 方 direction-way-side,91,方,direction-way-side,Noun
93 訳 reason-cause,93,訳,reason-cause,Noun
97 本当 truth-right,97,本当,truth-right,Noun
100 ため for,100,ため,for,Noun
115 場合 case-occasion,115,場合,case-occasion,Noun
116 話 story-talk,116,話,story-talk,Noun
120 日本 Japan,120,日本,Japan,Noun
123 前 forward-front-before,123,前,forward-front-before,Noun
127 一つ one,127,一つ,one,Noun
128 子供 child,128,子供,child,Noun
130 気 mind-heart,130,気,mind-heart,Noun
133 うち inside-of-before,133,うち,inside-of-before,Noun
138 感じ feeling-impression-atmosphere,138,感じ,feeling-impression-atmosphere,Noun
144 一 one,144,一,one,Noun
145 そう be.about.to,145,そう,be.about.to,Noun
148 二 two,148,二,two,Noun
151 必要 necessary-necessity,151,必要,necessary-necessity,Noun
152 仕事 work-job,152,仕事,work-job,Noun
153 余り the.rest-not.much,153,余り,the.rest-not.much,Noun
157 皆 everyone-everything,157,皆,everyone-everything,Noun
159 方 person-man,159,方,person-man,Noun
165 次 next-following-coming,165,次,next-following-coming,Noun
167 問題 problem-question,167,問題,problem-question,Noun
169 目 eye,169,目,eye,Noun
170 頃 time-about-when,170,頃,time-about-when,Noun
171 上 top-above-up-on,171,上,top-above-up-on,Noun
173 他 other-another-else,173,他,other-another-else,Noun
175 家 house-home,175,家,house-home,Noun
177 日 day-sun,177,日,day-sun,Noun
179 一人 one.person-alone,179,一人,one.person-alone,Noun
180 人間 human.being-man,180,人間,human.being-man,Noun
183 時間 time,183,時間,time,Noun
188 言葉 word-language,188,言葉,word-language,Noun
193 まだ yet-still,193,まだ,yet-still,Noun
194 手 hand,194,手,hand,Noun
201 意味 meaning-sense-mean,201,意味,meaning-sense-mean,Noun
205 形 form-shape-figure,205,形,form-shape-figure,Noun
207 三 three,207,三,three,Noun
208 最初 first,208,最初,first,Noun
209 間 distance-period,209,間,distance-period,Noun
215 最近 recently-lately,215,最近,recently-lately,Noun
219 友達 friend,219,友達,friend,Noun
222 一緒 together-with,222,一緒,together-with,Noun
223 生活 life-live,223,生活,life-live,Noun
224 国 country,224,国,country,Noun
227 現在 present.time-now,227,現在,present.time-now,Noun
231 気持ち feeling,231,気持ち,feeling,Noun
240 会社 company-firm,240,会社,company-firm,Noun
242 実際 actually-in.fact,242,実際,actually-in.fact,Noun
243 先生 teacher,243,先生,teacher,Noun
245 二人 two.people,245,二人,two.people,Noun
246 心 mind-heart-thought-feeling,246,心,mind-heart-thought-feeling,Noun
250 金 money,250,金,money,Noun
251 顔 face,251,顔,face,Noun
255 町 town-city,255,町,town-city,Noun
