Category,Function,S1,S2,S3,S4,S5,S6,T1,T2,T3,T4,T5,T6
Reservation,Reserving a ticket for an event,成田まで切符の予約お願いします。,成田まで切符２枚予約お願いします。,１０日コンサートのチケット２枚予約お願いします。,１０日コンサートのチケット２枚予約したいんですが。,明日の６時に予約したいのですが。,,Please make a reservation for a ticket to Narita. ,Please reserve 2 tickets to Narita.,"I would like to reserve two tickets for the concert on the 10th, please",I'd like to reserve two tickets for the 10-day concert. please.,I'd like to make a reservation for 6 p.m. tomorrow.,
Reservation,Reserving a place to stay,予約お願いしたいんですが。,６月１０日から２泊で予約お願いしたいんですが。,６月１０日から２泊、部屋を予約したいんですが。,６月１０日から２泊で、泊まりたいんですが。,６月１０日から２泊で、シングルの部屋を予約したいんですけど。,,I would like to make a reservation.,I would like to reserve a room for two nights starting June 10.,I would like to reserve a room for two nights starting June 10.,I would like to stay for 2 nights from June 10.,"I would like to reserve a single room for two nights, starting June 10.",
Reservation,Reserving something,個室を予約したいのですが。,シカゴ行きの便を予約したいのですが。,明日の晩テーブルを４人分予約したいのですが。,シングルルームを予約したいのですが。,大阪行きの便を予約したいのですが。,,I would like to reserve a private room.,I would like to book a flight to Chicago.,I would like to reserve a table for four for tomorrow night.,I would like to reserve a single room.,I would like to book a flight to Osaka.,
Ordering,Ordering food in a restaurant,天ぷらお願いします。,天ぷらをください。,私は天ぷらにします。,天ぷらひとつ、そばひとつ、おねがいします。,天ぷらひとつ、そばふたつ、ください。,,"Tempura, please.",Please give me tempura,I'll have tempura.,"One tempura, one soba, please.","One tempura and two soba noodles, please.",
Ordering,"Ordering food for delivery on telephone 
",もしもし、すし３人前、お願いしたいんですが。,もしもし、出前、お願いしたいんですが。,もしもし、ピザ、配達してもらえますか。,もしもし、ピザ、配達してもらいたいんですが。,,,"Hello, I would like to order three servings of sushi, please.",Hello. I would like to have a delivery.,"Hello, can I have pizza delivered?","Hello, I would like to have pizza delivered.",,
Ordering,Ordering a book,本の注文、お願いします。,本の注文、お願いしたいんですが。,本を注文したいんですが。,注文したい本があるんですが。,,,"An order for a book, please.",I would like to put in an order for a book.,"I would like to order a book, please.",There is a book that I would like to order.,,
Describing,Describing procedures,まずお金を入れて、それから欲しいものの番号を押します。,まず鍋に油をしき、次に肉を入れて、そして最後に野菜を入れます。,緑の窓口で切符を買う時は、まず用紙に希望の日にちと電車の時刻を書き入れます。,まず筆記試験があります。そして、筆記試験にパスすると面接があります。,オーブンで一時間ぐらい焼くとおいしいケーキができます。,,"First you put in the money, then press the number of the item you want.","First oil the pan, then the meat, and finally the vegetables.","When buying a ticket at the green counter, first write the desired date and train time on the form.","First there is a written test. Then, if you pass the written test, you will have an interview.",Bake in the oven for about an hour for a delicious cake.,
Needs,Expressing needs,必要に応じて作ります。,健康に注意する必要がある。,何か必要なものがあったら、言ってください。,毎日練習することが必要だ。,もちろんネットワーク接続が必要です。,,Make it depending on needs.,Health needs to be taken care of.,"If you need anything at all, please let me know.",You need to practice every day.,"Of course, a network connection is required.",
Needs,Expressing needs,お金はいくらぐらいいりますか。,新しいことを始めるには勇気がいる。,"お金がないから仕事をしなければならない。
",あした朝早いから、早く寝なければいけない。,もっと勉強しなくてはいけません。,,How much money do you need?,You need courage to begin a new thing.,I need to work because there is no money.,I need to go to bed early because I have an early morning tomorrow.,We need to learn more.,
Needs,Expressing lack of needs,図書館にあるから買う必要はないでしょう。,お金はいらない。,忙しかったら、来なくてもいいよ。,勉強しなければ成績が悪くなるのは言うまでもない。,悪いことをしたんじゃないんだから、謝るには及ばない。,アクセントの間違いはそんなに気にすることはない。,"Since it is in the library, there is probably no need to buy it.",I don't need money.,"If you're busy, you don't need come.","Needless to say, if you don't study, your grades will suffer.","I didn't do anything wrong, so I don't 	need to apologize. ",You don’t need to be concerned so much about making mistakes in the accent.
