Words,Meaning,Reading,Expression,Translation
暢気,carefree・optimistic・careless・reckless,のんき,暢気な生活,Carefree life
不潔,unclean・dirty・filthy・impure,ふけつ,不潔な環境,Filthy environment
同一,identical・same・fair,どういつ,同一な記述,Identical description
知的,intellectual,ちてき,知的な役割,Intellectual role
窮屈,narrow・tight・cramped・stiff・constrained,きゅうくつ,窮屈な場所,Cramped places
下品,vulgar・indecent・coarse・crude,げひん,下品な宣伝看板,Vulgar advertising signage
可能,possible・potential,かのう,可能な構成,Possible configurations
勇敢,brave・heroic・gallant,ゆうかん,勇敢な冒険者,Brave adventurer
主要,chief・main・principal,しゅよう,主要な管理,Key management
真摯,sincere・earnest・serious,しんし,真摯な協議,Earnest consultation
稀,rare・seldom,まれ,稀な副作用,Rare side effects
露,exposed・bare,あらわ,露な判断,Open judgment
真っ直ぐ,straight ahead,まっすぐ,真っ直ぐな運河,Straight canals
気の毒,pitiful・unfortunate,きのどく,気の毒な結果,Depressing results
周到,careful・thorough・meticulous,しゅうとう,周到な研究,Careful research
真っ赤,deep red,まっか,真っ赤な紅葉,Bright red autumn leaves
重大,serious・important・significant,じゅうだい,重大な欠点,Serious shortcomings
良質,good quality,りょうしつ,良質な素材,Good quality materials
性的,gender・sex,せいてき,性的な挙動,Sexual behavior
シンプル,simple,シンプル,シンプルな考え,Simple idea
外的,external・outside,がいてき,外的な差異,External differences
自在,doing at will​,じざい,自在な運用,Flexible operation
大変,immense・enormous・great​・serious,たいへん,大変な過程,Difficult process
微妙,subtle・delicate・fine・complex・doubtful,びみょう,微妙な技術,Subtle technology
可哀想,poor・pitiable・pathetic,かわいそう,可哀想な被害者,Poor victim
大雑把,rough・not precise・broad・sketchy,おおざっぱ,大雑把な推定,Rough estimation
様々,various・varied・diverse・all sorts of​,さまざま,様々な方法,Various methods
気楽,carefree・comfortable・easy-going,きらく,気楽な規制,Carefree regulation
希薄,thin・diluted・lacking,きはく,希薄な溶液,Dilute solutions
スムーズ,smooth,スムーズ,スムーズな旅行管理,Smooth travel management
虚ろ,cavity・hollow・void,うつろ,虚ろな想像,False Imagination
粗末,crude・rough・plain・humble・shabby​,そまつ,粗末な社宅,Shoddy company housing
淫ら,indecent・obscene・improper,みだら,淫らな関係,Lascivious relationships
如何,questionable・how・in what way,いかが,如何な予算配分,How to allocate a budget
最適,most suitable,さいてき,最適な季節,Optimal season
曖昧,vague・ambiguous・unclear​,あいまい,曖昧な仮説,Vague hypothesis
尋常,"common, usual",じんじょう,尋常な修行,Unusual practice
単一,single・simple・sole・individual,たんいつ,単一な解釈,Unique interpretation
安楽,ease・comfort・carefree・cosy・cozy,あんらく,安楽な暮らし,A comfortable life
切,eager・earnest,せつ,切な治療,Critical treatment
安全,safe・secure,あんせん,安全な投資,Safe investment
一般,general・universal,いっぱん,一般な誤解,Common misconceptions
具体的,concrete・tangible・definite・specific,ぐたいてき,具体的な要件,Specific requirements
自然,natural・spontaneous,しぜん,自然な平均寿命,Natural life expectancy
好き,liked・well-liked・favourite,すき,好きな歌手,Favorite singer
確か,sure・certain・positive・definite​,たしか,確かな特徴,Certain characteristics
重要,important・momentous・essential,じゅうよう,重要な瞬間,Significant moments
十分,enough・sufficient・plenty・adequate,じゅうぶん,十分な基礎学力,Sufficient basic academic skills
嫌,disagreeable・detestable・unpleasant,いや,嫌な雰囲気,Unpleasant atmosphere
簡単,simple・easy・uncomplicated​・brief,かんたん,簡単な解決策,Simple solution
明らか,clear・obvious・evident・bright,あきらか,明らかな有利,Obvious advantage
非常,emergency​・extraordinary・unusual,ひじょう,非常な影響,Extreme impact
大切,important・necessary・indispensable​,たいせつ,大切な資産,Valuable asset
同様,same・similar・equal​,どうよう,同様な配列,Similar array
完全,perfect・complete​,かんぜん,完全な実装,Perfect implementation
大丈夫,safe・secure・sound,だいじょうぶ,大丈夫な可能性,Possibility to be ok
奇麗,pretty・beautiful・clean・clear・tidy・neat,きれい,奇麗な景色,Beautiful scenery
特別,special・particular・extraordinary,とくべつ,特別な訓練,Special training
大事,important・serious・crucial​・valuable,だいじ,大事な要素,Important elements
有名,famous,ゆうめい,有名な作品,Famous works
新た,new・fresh・novel​,あらた,新たな洞察,New insights
相当,appropriate・suitable・befitting,そうとう,相当な距離,Considerable distance
静か,quiet・silent・​unhurried・calm,しずか,静かな位置,Quiet location
豊か,abundant・wealthy・plentiful・very・extremely,ゆたか,豊かな資源,Abundant resources
明確,clear・precise・definite・distinct​,めいかく,明確な理解,Clear understanding
有効,valid・effective​,ゆうこう,有効な用量,Effective dosage
遥か,far away・far off・far・distant・long ago,はるか,遥かな目的地,Distant destination
単純,simple・plain・uncomplicated,たんじゅん,単純な定義,Simple definition
確実,certain・sure・definite・reliable,かくじつ,確実な保存,Reliable preservation
残念,deplorable・regrettable・disappointing,ざんねん,残念な報告,Disappointing reports
巨大,huge・gigantic・enormous​,きょだい,巨大な地下空間,Huge underground spaces
意外,unexpected・surprising​,いがい,意外な視点,Unexpected perspectives
立派,splendid・fine・handsome・elegant,りっぱ,立派な思考機構,Splendid thinking mechanisms
特殊,special・particular・peculiar・unique,とくしゅ,特殊な設定,Unique setting
見事,splendid・magnificent・excellent・fine,みごと,見事な自然,Stunning nature
多様,diverse・varied​,たよう,多様な価値観,Diverse values
高度,high-degree・high-grade,こうど,高度な調査分析,Advanced research and analysis
当たり前,natural・reasonable・obvious​・usual・common,あたりまえ,当たり前な試験室環境,Normal laboratory environment
容易,easy・simple・plain​,ようい,容易な導入,Easy introduction
懸命,eager・earnest・strenuous・fervent,けんめい,懸命な捜索,Diligent search
