Question,Options,Answer
秋になり、<u>葉</u>の色が変わってきた。,1 えだ 2 き 3 は 4 ね ,3 は
昨日の夜、<u>熱</u>が出た。,1 けむり 2 ねつ 3 ひ 4 ゆ ,2 ねつ
庭の木に赤い<u>実</u>がなりました。,1 たね 2 はな 3 め 4 み  ,4 み  
本棚の<u>角</u>で頭を打った。,1 はし 2 よこ 3 かど 4 さき,3 かど
本の<u>表</u>に名前を書く。,1 おもて 2 うら 3 した 4 うえ ,1 おもて
寒すぎて、<u>指</u>が冷たくなった。,1 て 2 あし 3 ゆび 4 うで ,3 ゆび
母からきれいな<u>器</u>をもらいました。,1 なべ 2 さら 3 うつわ 4 いた ,3 うつわ
卵と<u>粉</u>を容器に入れて、よくかきまぜる。,1 す 2 あぶら 3 しお 4 こな ,4 こな 
演奏会の<u>席</u>を取る。,1 せき 2 ゆか 3 いす 4 ば ,1 せき
荷物を<u>箱</u>に入れる。,1 かご 2 はこ 3 たんす 4 かばん ,2 はこ
小さい虫むしが<u>列</u>になって歩いている。,1 れつ 2 たて 3 ななめ 4 せん ,1 れつ
<u>缶</u>をごみ箱に捨てる。,1 ふくろ 2 かみ 3 ふく 4 かん ,4 かん 
わたしの<u>机</u>に置いておいてください。,1 だい 2 いす 3 つくえ 4 へや ,3 つくえ
冬は寒くて、外に出る<u>鼻</u>が赤くなってしまう。,1 みみ 2 ほほ 3 はな 4 かお ,3 はな
用紙にきれいな<u>線</u>を書く。,1 まる 2 せん 3 え 4 じ ,2 せん
わたしは絵や音楽などの<u>芸術</u>が好きだ。,1 げじゅつ 2 げしゅつ 3 げいじゅつ 4 げいしゅつ ,3 げいじゅつ
わたしと野田さんの間には熱い<u>友情</u>がある。,1 ゆうじょ 2 ゆうじょう 3 ゆじょ 4 ゆじょう,2 ゆうじょう
自転車の修理をするには、様々な<u>道具</u>が必要です。,1 どぐう  2 どぐ 3 どうぐう 4 どうぐ ,4 どうぐ 
正しい<u>方角</u>を調べてから行こう。,1 ほうがく 2 ほがく 3 ほうかく 4 ほかく ,1 ほうがく
祖母の家には<u>楽器</u>がたくさんあります。,1 がつき 2 がっぎ 3 がっき 4 がつぎ ,3 がっき
さっき電話で１０人分の<u>注文</u>を受けました。,1 ちゅうぶん 2 ちゅぶん 3 ちゅうもん 4 ちゅもん ,3 ちゅうもん
日本の箸を作っている人は、高い<u>技術</u>を持っている。,1 きじゅつ 2 ぎじゅつ 3 きしゅつ 4 ぎしゅつ ,2 ぎじゅつ
高校時代は<u>野球</u>をしていました。,1 やくう 2 やく 3 やきゅう 4 やきゅ ,3 やきゅう
<u>辞書</u>を使って調べる。,1 じしょ  2 じしょう 3 ししょ 4 ししょう ,1 じしょ
