Sentence,Meaning
今日はすばらしい日でした。,It was a nice day today.
今日天気は良かったです。,The weather was nice today.
まあまあ良い天気でした。,We had a fairly nice day.
今日は実に良い天気でした。,It was truly a nice day today.
天気は１週間ずっと良いはずです。,The weather should be nice all week.
今週末は天気が良くなります。,There is good weather coming this weekend.
今日の朝は、良い天気でした。,It was fine in the morning today.
明日天気になればいいな。,I hope it’s fine tomorrow.
素晴らしい天気でした。,It was a beautiful day.
すばらしい快晴でした。,It was a beautiful sunny day.
今日は一日中、晴れ渡っていました。,It was sunny all day today.
今日は穏やかな日でした。,It was a calm day today.
外はすばらしい天気でした。,It was lovely weather outside.
今日はゴージャスな天気です。,It’s gorgeous today.
今朝は素晴らしい天気でした。,The weather was gorgeous this morning.
今日はとても気持ちのよい天気でした。,The weather was comfortable today.
最近の天気は、とても心地良いです。,The weather is really pleasant these days.
今日は晴れ渡った日でした。, It was a clear day today.
すぐに晴れるでしょう。,It will clear up soon.
雲ひとつありません。,Not a cloud in the sky.
青い空には、雲一つありませんでした。,There was not a cloud in the blue sky.
空には雲ひとつない快晴でした。,It was a beautiful sunny day without a cloud in the sky.
晴天は土曜日まで続くでしょう。,The sunny weather will continue until Saturday.
始めは曇っていましたが、昼下がりまでに晴れました。,"The day started out cloudy, but cleared by early afternoon."
晴れた日に散歩をするほど嬉しいことはないです。,Nothing is more fun than taking a walk on a fine day.
