P1,T1,P2,T2,P3,T3
学部の選択,choice of faculty,ちょうどはじめた,began exactly,すらすら読めた,easily read
深い悲しみ,deep sadness,つまらぬ芝居,boring play,遠く離れた町,distant town
恐らく中止になるね,probably canceled,荒っぽいスポーツ,rough sports,単なる風邪,a mere cold
ふらふら(と)歩く,walk unsteadily,暴力に強く反対した,strongly against violence,遠い灯台,distant lighthouse
甘い父親,indulgent father,たくさん欲しい,i want a lot,ちゃんと読める,can read properly
すっかり忘れた,completely forgot,大変興奮した,very excited,すごく変,very odd/strange
手強い相手,formidable opponent,単なる知り合い,mere acquaintance,正しいでしょ？,am i right?
ほんの一瞬の油断,just a moment of carelessness,ぜんぜんできない,can't do at all,強い影響力,strong influence
ある実験,an experiment,大した問題,big problem,ほとんど終わった,almost finished
いっさいしない,never/doesn't do it,高い能力,high level of ability,安全機構,safety mechanisms
そんな些細な事,such a trivial thing,見知らぬ人,unknown person,きっと驚く,surely it’s gonna rain
ゆっくり(と)歩け,walk slowly,やがて廃れる,be obsolete shortly,ずっと忙しい,busy all along
そういう暴力,such violence,容易なこと,easy thing,あらゆる困難,every difficulty
まっすぐ行きなさい,go straight ahead,少ない予算,small budget,つまらない試合,boring game
子供っぽい,childish,いろんな原料,various raw materials,ああいう男,a man like that
小さい活字,small print,雪になるでしょう,it'll snow,次に買う,next to buy
高い温度,high temperature,特別に準備しておく,special preparations,裸で寝る,sleep nakedly
しょっちゅう起こる,always occurs,ピカピカ(と)光った,flashed sparkly,ああいう行動,actions like that
こういう機器,this kind of equipment,極めて深刻だ,extremely critical,そんなこと,such a thing.
快く受ける,accept willingly,すぐにやりなさい,do immediately,このところ飲みすぎる,drink a lot lately
主たる関心事,principal interest,最初に着いた,arrived first,先に行ってください,please go ahead
甘い基準,lax standards,もっと見たい,see more,深くなる,become deeper
強い動物,strong animal,そういう女性,such woman,こういう特典,these benefits
泣かせたでしょ,i made you cry,雨らしい,rainy,避けるべきだ,should be avoided
注意深い運転,careful driving,感動を与える,give an impression,早速読んだ,read immediately
よくないこと,not a good thing,輝かしい成績,brilliant results,スムーズに進む,go smoothly
安全ベルト,safety belts,そういう諸説,such theories,まだ起きてる,still up
甘い誘惑,sweet temptation,きれいでしょ？,"beautiful, isn't it?",ペラペラになる,become fluent
甘い言葉,sweet words,新しい言葉,new word,力強い演説,powerful speech
悪賢い政治家,devious politician,言うべきだ,you should say,小さな交差点,small intersection
全て終わった,it's all over,すごく優しい,very kind,あんな失礼なこと,such rudeness
非常に難しい仕事,a task of great difficulty,最近寝てるときに,when sleeping recently,暗黒の王子,prince of darkness
高い得点,high marks,そんな大きな犬,such a big dog,遠い郊外,distant suburb
いい景色,nice view,たくさん降った,much has fallen,今行くよ,going now
強い興味,strong interst,腹を立てる,get angry,見知らぬ男,unknown man
小さな魚,little fish,安心したこと,reassured thing,なかなかやるなあ,pretty good
近いホテル,nearby hotel,とても暑い,very hot,完璧に理解する,understands perfectly
小さな声,little voice,やめるべきだ,we should stop,天井の高い部屋,high-ceilinged room
そういう休暇,such vacation,短く切りました,cut shortly,深く愛する,love deeply
遠い距離,long distance,リーダーにふさわしい,suitable for a leader,汚れに強い合成皮革,stain-resistant artificial leather
社会保障,social security,まれにしか怒らない,rarely occurs,同じ髪型,same haircut
ほんの一握り男性,just a handful of men,さっさとしなさい,hurry up,ほんの数年,just a few years
同じ列車,same train,も倒れる,to fall any moment,あらゆる機会,every opportunity
安価な簡易住宅,inexpensive simple housing,折りたたみの傘,folding umbrella,さっき出かけた,just left
同じ感情,same emotion,近い衛星,nearest satelitte,誤植が多い,many misprints
冷たい北風,cold north wind,高い山,high mountain,そういう場合,in such a case
無事に帰国する,return home safely,よき妻,a good wife,香りが高い,exquisite fragrance
ほんの初心者,just a beginner,高い希望,high hopes,この間投稿した,posted the other day
