W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
油,oil,暴れる,rampage,上がる,go up,すると,thereupon,遭う,meet,味噌,miso (soybean)
愛,love,溢れる,overflow,挨拶,greetings,食べる,eat,追う,chase,豆乳,soy milk
愛情,affection,愛着,attachment,味,taste,反対,against,負う,take care of,調味料,seasoning
相変わらず,as usual,合間,between,赤ちゃん,baby,まだ,still,飼う,have,発酵,fermentation
生憎,hate,曖昧,ambiguous,赤ん坊,baby,大会,tournament,請う,beg,給料,salary
愛する,love,愛らしい,adorable,案内,guide,鳥,bird,吸う,suck,有給休暇,paid vacation
相手,partner,愛社,love company,安心,safety,平均,average,沿う,follow,残業手当,overtime pay
合図,sign,相性,affinity,安全,safe,長い,long,添う,accompany,感覚,sense (feeling)
明かり,light,相次いで,successively,浅い,shallow,天然,natural,問う,ask,少し,a little
明ける,dawn,愛用,adore,足音,footsteps,取る,take,縫う,sew,約,about
空き,vacant,味付け,seasoning,遊び,play,だろう,seems,這う,crawl,だいたい,about
空き家,vacant house,赤字,deficit,集る,gathering,降り続く,keep coming down,舞う,dance,上,above
明らか,clear,飽き,boredom,集める,gather,俺,me,酔う,drift,海外,abroad
諦める,give up,空き地,vacant land,合う,meet,当時,at that time,開く,open,豊富な,abundant
飽きる,get tired of,諦め,giving up,謝る,apologize,湖,lake,空く,empty,事故,accident
悪魔,the devil,悪化,deterioration,倍,double,注文,order,行く,go,アダプター,adapter
握手,handshake,憧れ,longing,番組,program,けど,but,浮く,float,住所,address
余る,excess,憧れる,longing,場所,place,まま,as,置く,put down,入場,admission
編む,knit,悪影響,bad influence,別,different,体,body,書く,write,入場料,admission fee
案,plan,悪意,bad intentions,美術館,museum,捕る,catch,描く,draw,忠告,advice
汗,sweat,悪条件,bad conditions,びっくり,surprise!,不自由,disability,掻く,scratch,後で,after
穴,hole,雨水,rainwater,僕,me,助け,help,欠く,lack,午後,afternoon
暗記,memorization,甘やかす,spoil,貿易,trade,戦争,war,嗅ぐ,smell,もう一度,again
安定,stability,案外,unexpected,部長,director,折れる,break,聞く,listen,に対して,against
粗い,coarse,安易,easy,ぶどう,grapes,製品,"goods, product",漕ぐ,paddle,年齢,age
嵐,storm,安価,inexpensive,文学,literature,下,bottom,咲く,bloom,エアコン,air conditioning
新た,new,仰向け,upside down,文化,culture,胸が痛む,my heart hurts,裂く,tear,エアマットレス,air mattress
現れる,appear,荒い,rough,文法,grammar,笑い,laughter,敷く,lay out,飛行機,airplane
表す,manifest,洗い出す,wash out,血,blood,雪,snow,炊く,cook,空港,airport
有らゆる,all,予め,in advance,力,power,見に行く,go to see,焚く,burn,空港内ホテル,airport hotel
足元,underfoot,争う,contend,地理,geography,巻き込む,roll in,就く,sit,空港警備,airport security
与える,give,改める,change,中学校,middle school,火,fire,点く,light,セキュリティー,security
値,value,荒れる,be rough,注意,attention,ひとつ,one,突く,poke,通路側の席,aisle seat
辺り,around,焦り,hurry,注射,injection,空,sky,注ぐ,pour,警告,"alarm, advice"
当たる,hit,焦る,be in a hurry,駐車場,parking lot,目の前,right in front of you,次ぐ,follow,目覚まし時計,alarm clock
温める,warm,足を運ぶ,go on foot,大分,oita,内部,inside,接ぐ,connect,アルコール,alcohol
跡,trace,圧勝,crushing victory,大学生,university student,話題,topic,継ぐ,join,ずっと,all the time
扱う,treat,宛,address,大事,important,解く,unravel,解く,dissolve,アレルギー,"allergy, allergic"
集まり,gathering,当てはまる,apply to,大体,mostly,私用,private,溶く,dissolve,一人で,alone
慌てる,panic,後回し,postponing,だから,so,こんな,like this,説く,explain,いつも,always
誤り,mistake,後戻り,backward,駄目,no,車,car,退く,retreat,救急車,ambulance
泡,bubble,あっという間,in the blink of an eye,暖房,heating,友,friend,研ぐ,sharpen,アメリカ,america
哀れ,pity,厚かましい,impatient,男性,male,行き届く,it'll be fine.,泣く,cry,総額,amount (total)
合わせる,combine,慌ただしい,hasty,電報,telegraph,すみません,excuse me.,抜く,pull out,遊園地,amusement park
預ける,deposit,怪しい,suspicious,電灯,electric light,君,you.,脱ぐ,take off,局所麻酔をかける,anaesthetize (local)
場,place,歩み寄る,walk up to,どんどん,more and more,未経験,inexperience,履く,put on,アンチョビー,anchovy
馬鹿,stupid,歩む,walk,泥棒,thief,作業,work,吐く,vomit,おこった,angry
莫大,enormous,鮮やか,vivid,動物園,zoo,引き続く,continue,掃く,sweep,動物,animal
爆発,explosion,倍増,double,道具,tools,中学,middle school,剥ぐ,strip,くるぶし,ankle
場面,scene,離れ,away from,枝,branch,毎週,every week,弾く,flick,答え,answer
ばらばら,disperse,ばっさり,in one fell swoop,遠慮,hesitation,とも,both,轢く,run over,返事,answer
罰する,punish,別荘,separate house,選ぶ,choose,写真,photo,吹く,blow,アリ,ant
弁護士,lawyer,美術,art,不便,inconvenience,姿,figure,拭く,wipe,抗生物質,antibiotics
別々,separate,敏感,sensitive,増える,increase,なら,if,巻く,roll,不凍液,antifreeze
美人,beautiful women,びっしょり,drenched,深い,deep,誤り,mistake,蒔く,sow,古代の,antique
びっくり,surprise,美容院,beauty salon,復習,review,遊びに行く,going out to play,撒く,sow,古美術,antiques
微妙,subtle,募金,fundraising,複雑,complex,父親,father,剥く,peel,骨董品,antiques
瓶,bottle,牧場,ranch,踏む,step on,影響,influence,焼く,bake,アパート,apartment
便,stool,膨大,huge,船,ship,人口,population,沸く,boil,食前酒,aperitif
ぼんやり,dimly,防犯,crime prevention,布団,futon,とも,both,湧く,well up,許し,apologies
募集,seeking,防災,disaster prevention,太る,fat,教会,church,押す,push,リンゴ,apple
棒,stick,部員,members,普通,normal,辛さ,pain,貸す,lend,リンゴジュース,apple juice
冒険,adventure,部下,subordinate,頑張る,persist,何時,when,消す,extinguish,アップルパイ,apple pie
部分,part,ぶかぶか,too many,原因,cause,診る,see a doctor,越す,exceed,アップルソース,apple sauce
部品,parts,分別,classification,下宿,lodging,開く,open,超す,exceed,アプリケーション,application
無事,safe,分解,disassembly,技術,technology,年,year,差す,exceed,約束,appointment
武器,weapon,分割,division,ご馳走,treats,先,future,指す,point,アンズ,apricot
物価,prices,文系,literature,塵,dust,報告,report,刺す,stab,四月,april
文,sentence,文献,literature,ご覧になる,see,成功,success,挿す,insert,建築,architecture
分,parts,文面,literature,ご存じ,knowing,英語,english,注す,pour,環境,area (environment)
文明,civilization,分配,distribution,ご主人,your husband,保証,guarantee,射す,shoot,辺,area (location)
分類,classification,分量,distribution,具合,condition,同じ,same,足す,add,市外局番,area code
分析,analysis,分担,share,軍人,soldier,非公式,unofficial,出す,show,腕,arm
文章,literature,物資,materials,葉,leaf,急,urgent,為す,do,約束する,arrange (set it up)
分野,fields,着々と,steadily,拝見,seeing,家族,family,干す,dry,着く,arrive
ぶらぶら,wandering,着実,steadily,歯医者,dentist,学業,schoolwork,増す,increase,矢印,arrow
無沙汰,idleness,縮める,shrink,始める,begin,普通,normal,蒸す,steam,芸術,art
物質,matter,縮む,shrink,はっきり,clearly,だから,so,召す,call,動脈,artery
舞台,stage,近々,near,運ぶ,carry,自動,automatic,止す,stop,物,article (matter)
打つかる,striking,近づく,get closer,花見,flower viewing,大,big,打つ,strike,人口呼吸,artificial respiration
物理,physics,蓄積,accumulate,反対,against,事情,circumstances,撃つ,shoot,灰皿,ashtray
秒,second,散らかす,disperse,払う,sweep away,嫌う,hate,討つ,strike,尋ねる,ask
平等,equality,地帯,zone,発音,pronunciation,湧く,spring up,勝つ,win,問う,ask
父親,father,知的,intellectual,林,forest,上,up,立つ,stand,頼む,ask (for)
知恵,wisdom,地点,geographical point,恥ずかしい,embarrassed,ただ,just,経つ,rise,アスパラガス,asparagus
違い,difference,地球温暖化,global warming,変,strange,事故,accident,建つ,rise,アスピリン,aspirin
地平線,horizon,直結,immediate,返事,reply,部屋,room,発つ,rise,強姦,assault (sexual)
地方,region,直後,direct,酷い,terrible,参考,reference,絶つ,cease,家に,at home
地位,position,直立,upright,冷える,chilling,建設する,construct,打つ,strike,夜,at night
地域,region,直前,immediately before,ひげ,beard,けれども,but,死ぬ,die,後に,at the back
知事,governor,長編,rectangle,非常に,very,実際,actual,飛ぶ,fly,前に,at the front
地下,underground,長方形,rectangle,光,light,番号,number,跳ぶ,leap,遅くても,at the latest
近頃,recent,長期間,long duration,光る,glow,うち,of,呼ぶ,call,カード,card
近道,shortcut,彫刻,sculpture,引き出し,drawer,気,feeling,編む,weave,八月,august
力強い,powerful,彫刻家,sculptor,引き出す,pull out,新聞,newspaper,産む,give birth,自動的,automatic
遅刻,late,長距離,long distance,引っ越す,move,感じる,to feel,噛む,chew,秋,autumn
地区,district,調味料,seasoning,飛行場,airfield,記録,record,組む,knit,雪崩,avalanche
地球,earth,調理,cooking,開く,open,年,year,汲む,draw,起きた,awake
知能,intelligence,調整,adjustment,昼間,daytime,のに,in,酌む,pour,日よけ,awning (sunshade)
知識,knowledge,調節,adjustment,拾う,pick up,空気,air,込む,put into,赤ちゃん,baby
貯金,savings,聴衆,audience,昼休み,lunch break,年間,year,混む,mix,ベビーシッター,baby sitter
直接,direct,注意点,attention,久しぶり,long time no see,弟,brother,住む,live,背中,back (body)
著者,author,抽象,abstract,褒める,praise,回,times,済む,finish,リュックサック,backpack
頂上,summit,中断,interruption,翻訳,translation,ふたり,two,澄む,clear,ベーコン,bacon
長期,long term,注意深い,attentive,星,star,時,time,積む,pile up,悪い,bad
調査,survey,忠実,faithful,ほとんど,almost,恐ろしい,horrible,富む,abound,ひどい,bad (terrible)
調子,tone,中旬,middle,法律,law,黒い,black,飲む,drink,大変,bad (terrible)
長所,pros,中華,chinese,一度,once,早い,too early,踏む,step on,カバン,bag
朝食,breakfast,中継,relay,医学,medicine,しまった,already,揉む,rub,手荷物受取所,baggage claim
中学,middle school,駐輪所,bicycle parking lot,苛める,torment,もう,already,止む,stop,手荷物引換券,baggage claim check
中間,middle,抽選,lottery,以上,more than,話,talk,病む,be ill,パン屋,baker
中古,used,大学院,graduate school,以下,less than,無口,not talking,有る,be,バルコニー,balcony
注目,featured,大学祭,university festival,意見,opinion,よく,often,在る,be,ボール,ball
注文,order,台無し,no stand,生きる,live,どうやら,it appears that,居る,be,球,ball
駐車,parking,題名,title,以内,within,低い,low,要る,need,バレー,ballet
