Words,Reading,Meaning,Ext,Approx,Remarks,Expression,Translation
取り組む,とりくむ,"to engage, grapple with",te-iru,v-ing,【resultative・continuous-state】,競って取り組んでいた,engaged competitively
体系化する,たいけいかする,"to systematise, organize",rareru,have done,【passive・receptive】,体系化された,made systematically
報いる,むくいる,"to reward, recompense, repay, retaliate",eba-ii-no-darou-ka,what is the most probable good way,【interrogative-possible-condition-ba】,どう報いればいいのだろうか,how should we reward them?
納得する,なっとくする,"to consent, agree, accept, being convinced",dekiru,can do,【potential】,納得できません,i’m not convinced
優先する,ゆうせんする,"to prefer, prioritise",rareru,have done,【passive】,優先されるんだ,made priority
分かる,わかる,"to understand, comprehend, grasp",te-iru,v-ing,【resultative・continuous-state】,分かっているだろ？,"you know that, right?"
申し訳する,もうしわけする,"to apologize, ask for excuse",masen,not doing,【expression】,申し訳ございません,i’m sorry
怒る,おこる,"to get angry, get mad",te-kureru,do something towards someone,【receptive】,怒ってくれる,get mad at me
救う,すくう,"to rescue from, help out of, save",te-iru,v-ing,【continuous-action・progressive】,それに救われているんだ,that's what's saving me
叱る,しかる,"to scold, reprimand, rebuke",te-bakari,keep doing,【continuous-action・progressive】,叱ってばかり,keep scolding
入る,はいる,"to enter, go into​",te-shimatteiru ⇢ chatteiru,doing till the end,【continuous-action until end】,入っちゃってる,there you go
笑う,わらう,to laugh,te-kureru,do something towards the speaker,【receptive】,みんなもめっちゃ笑ってくれてる,you guys are laughing so hard
撮る,とる,to take,te-miru,try to do,【volitional】,自分と一緒に撮ってみました,took this picture with myself
忘れる,わすれる,to forget,te-wa-ikenai,should not do,【non-obligatory】,そして忘れてはいけない,and don't forget
なぞる,なぞる,"to trace, follow",ru-youni,advice to do,【admonitory】,優しくなぞるようにつけましょう,gently trace it on
実践,じっせん,"to put into practice, implement",te-iru,v-ing,【habitual・repetitive・continuous-state・action】,これは必ず実践していますね,you always put this into practice
見える,みえる,to be seen,te-iru,v-ing,【resultative・continuous-state】,さっき見えてましたよ,saw it just now
行く,いく,"to go, to do in a specific way",tai-to-omou,would like to do,【desiderative】,いきたいと思うんですけども,i'd like to do that but
報告する,ほうこくする,"to report, inform",tai-to-omou,would like to do,【desiderative】,報告していきたいと思います,would like to report back
やり直す,やりなおす,to do over again,tai,want to do,【desiderative】,もう一回やり直したい,want to start over again
考える,かんがえる,"to think, consider",te-kurete-iru-youni,would like doing for someone,【receptive-admonitory-continuous-action】,考えてくれているように,like you're thinking about it
思う,おもう,to think,te-iru,v-ing,【progressive・continuous-action】,お前のことを思っているんだ,thinking about you
選ぶ,えらぶ,"to choose, select",koto-wa-nai,no need to do,【not-required】,選ばれることはない,never be chosen
見せる,みせる,"to show, display",te-kureru,do something towards someone,【request】,見せてくれ,let me see
行ってまいります,いってまいります,"good bye, i’m off, see you later",te-mairu,come and go,【expression】,それではいってまいります,i’m off then
行く,いく,"to go, to do in a specific way",te-oide,coming or going,【expression】,行っておいで,go ahead
見る,みる,"to see, look, watch",te-ite-kudasai,please keep doing,【request-progressive・continuous-action】,見ていてくださいね,watch me
潰す,つぶす,"to smash, crush, flatten, shut down",ou-ka,shall we do,【volitional-interrogative】,潰そうか,shall we crush it?
空く,あく,"to be empty, vacant",te-imasu-ka,is it v-ing,【interrogative-resultative・continuous-state】,お隣は空いていますか？,Is the next one available?
言う,いう,"to say, utter",te-ii-no-kana,i wonder if it is good?,【soft・indirect-question】,面白い偶然と言っていいのかな？,can we say interesting coincidence?
感じる,かんじる,"to fell, sense, experience",te-iru-kamoshirenai,might be doing,【indicates possibility】,っていう感じにしているかもしれない,might be making it sound like a
買いに出る,かいにでる,to go out to buy,vnoun.stem-ni-verb,do to,【indicates purpose to do】,日用品を買いに出たんですよ,went out to buy some household items
買いに行く,かいにいく,to go to buy,vnoun.stem-ni-verb,do to,【indicates purpose to do】,買いに行ったって言ってるじゃない,i told you I went to buy it
考える,かんがえる,"to think, consider",te-kudasai,please do,【request】,もう1回しっかり考えてください,think hard one more time
確認する,かくにんする,"to confirm, verify",te-itadakeru,"please do, you can do",【request】,こっちで確認していただける,you can check over here
降臨する,こうりんする,"to descend, arrive, appear",te-shimatta ⇢ chatta,something happens,【happens unexpectedly or by accident】,天使が降臨しちゃった,angels have descended
,,,,,,まだ卒業しないから,i’m not graduating yet
,,,,,,時刻は14時4分を回りました,the time has turned 14:04
,,,,,,無事に過ごしましょう,let’s stay safe
,,,,,,安全に素敵な夜をお過ごしください,have a safe and wonderful evening
,,,,,,合わせみたいじゃない,it looks like a match
,,,,,,妹と待ち合わせているんだ,i’m meeting up with my sister
,,,,,,お待たせいたしました,thank you for waiting
,,,,,,また会いましたね,we meet again
,,,,,,ご挨拶させていただいただけですから,just wanted to greet you
,,,,,,謝ることじゃないさ,no need to apologize
,,,,,,当てにされていたと思えば,if you think they were counting on you
,,,,,,そうおっしゃるのであれば,if you say so
,,,,,,存じております,i know
,,,,,,落ち着いてもらえませんか？,would you please calm down?
,,,,,,かなり分析しています,quite a bit of analysis
広がる,ひろがる,"to spread out, stretch, extend",te,and,【connective-form】,薄雲が広がって,thin clouds spread out
関連する,かんれんする,"to relate, connect",ka-to-omoimashita,probable thought of doing,【roundabout expression】,そういった関連かと思いました,i thought it was related that way
外す,はずす,"to remove, take off, detach, drop, dodge, miss",ru-to,if you do,【conditional-to】,ここまで力説して外すと恥ずかしい,it’s embarrassing to miss after all this effort
負ける,まける,"to lose, be defeated, give in",nai-youni,do something in order no to,【purpose】,まあ次は負けないように頑張ります,"well, i’ll do my best not to lose next time"
乗る,のる,"to get on, board, take, embark",te-shimau,something happens,【happens unexpectedly or by accident】,うっかり乗ってしまいまして嬉しい,glad I accidentally got on board
出る,でる,"to leave, go out, come out",te-kuru,come out,【directional-movement】,出てくるから,it's coming out
書く,かく,"to write, compose",te-aru,"was done, have been done",【resultative・continuous-state】,ふうに書いてあったんですけど,was written like that
出る,でる,"to leave, go out, come out",te-kuru,come out,【directional-movement】,肩を組んで出 てきたんですよね,they came out shoulder to shoulder
投稿する,とうこうする,"to post, submit, contribute",te-kure,do something towards something,【request】,投稿してくれいるページ,the page you're posting on
