Words,Reading,Meaning,Sample
岩,いわ,rock・boulder,ここは岩がたくさんあって、危ない。
息,いき,breath・tome・mood,山の上で何度も大きく息を吸ってみた。
合図,あいず,sign・signal・cue,僕が合図をしたら、初めてください。
努力,どりょく,effort・endeavour,努力しないで、試験に受かるはずがない。
表面,ひょうめん,surface・face・appearance・exterior,月の表面は砂や岩で覆われているそうだ。
目的,もくてき,purpose,今回の旅行の目的はなんですか。
普及,ふきゅう,diffusion・spread・popularization,児童の保健について正しい衛生知識の普及を図ること。
誤り,あやまり,error・mistake・slip・bug,一部の内容に誤りがあったので直しておいた。
乾燥,かんそう,dryness・aridity・dehydration・desiccation,空気がk乾燥していて火事になりやすい。
違反,いはん,violation・offense・infringement,運転中のスマホ操作は交通ルール違反となる。
混乱,こんらん,disorder・chaos・confusion・mess,仕事が山ほどあって、頭が混乱している。
協力,きょうりょく,cooperation・collaboration・support,アンケトにご協力いただける方を募集しています。
