Question,Options.1,Options.2,Options.3,Options.4,Answer
手段,お腹が痛くなったときは、暖かい手段をするといいです。,自分で会社をつくるための手段はいくつかあります。,新しい時計を買った手段は、電池を入れても動かなくなってしまったためです。,働くときの手段がくわしく書いてあるので、これは大切に保管してください。,1 2 (1かっこう 3理由 4条件)
習慣,わたしの学校は、地震や火事が起きたときに避難できるように習慣がある。,今日は運動会の習慣がある予定だったが、雨のため中止になった。,学校に遅刻ばかりしている弟に、早く起きる習慣をつけるように注意した。,来月犬を飼うので、わたしの家では犬を毎日二回散歩に連れて行くという習慣を作った。 ,2 3 (1訓練 2練習 4決まり・ルール)
状態,昨日から子どものお腹の状態が悪く、とても心配だ。,高校生になってから、息子は派手な状態を選ぶようになった。,彼女は状態が豊かで、一緒にいるとわたしまで明るい気持ちになる。,20代のときに出演した映画での状態が評価され、彼女は有名になった。,3 1 (2服装・かっこう 3表情 4演技)
割合,家族が多いので、何でも人数分に割合したが、子どものときはそれがいやだった。,この洋服とバッグ、セールで30パーセント割合で買ったんです。,車や家などの高価なものを買うときは、何回かに割合してお金を支払う。,反対する人の割合が多く、新しいビルの建設を中止することになった。,4 4 (1分けた 2割引 3分割・分けて)
欠点,家を出た後で欠点に気づき、あわてて家まで取りに戻った。,仕事で欠点があって、すっかり帰るのが遅くなってしまった。,この携帯電話の欠点は、電池がなくなるのが早いことだ。,ガラスのコップを床に落として、底の部分が欠点してしまった。,5 3 (1忘れ物 2問題・ミス 4欠けて)
同様,１８歳以下の方が申し込むためには、ご両親の同様が必要なんです。,結婚してからは、家を建て直して、妻の両親と同様しています。,わたしが駅のホームに到着したのとほぼ同様に、電車が出発した。,妹とわたしは、同様に育てられたのに性格が全然違う。,6 4 (1同意 2一緒に住んで・同居 3同時)
目標,両親に新しい家をプレゼントするという目標のために貯金している。,明日は、友達と一緒に図書館で勉強する目標をしています。,わたしが仕事をする目標は、お金のためと、色々な経験をするためです。,同じような傘がたくさんあるので、自分の傘に目標をつけておいた。,7 1 (2約束 3目的 4マーク)
資源,わたしの国では、お米を資源にして作られた料理がたくさんあります。,紙は資源として何度でも利用することができます。,もし時間があったら、明日のお弁当の資源を買いに行ってくれない?,最初のうちは他の人がかいた作品を資源にして、絵の練習をした。,8 2 (1原料 3材料 4見本)
感覚,彼に初めて会ったとき、とてもいい感覚だった。,学校では感覚を守って行動しなければならない。,ネックレスを作るときは、手先の感覚がとても重要だ。,体の感覚が悪いので、今日は早めに帰ります。,9 3 (1印象 2規則 4具合)
検査,かばんの中に財布が入っているかどうか検査してから家を出た。,宿題は毎日、先生にわたして検査してもらう。,飛行機に乗る客が危ないものを持っていないか、荷物を検査する。,間違えたところは、辞書を使って検査してください。,1 3 (1確認 2確認 4調べて)
流行,サッカーはボールがあれば遊べるので、子どもにも大人にも流行のスポーツだ。,クラスメートの川村さんは、頭がいいことで流行だ。,この犬は、町の住人みんなに流行している。,これは、10代の子たちのあいだで流行しているゲームだ。,2 4 (1人気 2有名 3愛されて)
訓練,習ったことを忘れないように、授業のあとは必ず訓練している。,早起きしてカフェに行き、帰ったら読書をするのが毎日の訓練だ。,子どものとき、自分を守るための訓練として柔道を習った。,この番組では、英語を使って日本語文法の使い方の訓練をしている。,3 3 (1復習 2習慣 4解説)
