Kanji,Hint,Details
悔,heart + every = REGRET・REPENT,"悔しい【くやしい】 regrettable, disappointing, frustrating <br>悔やむ【くやむ】to mourn, lament <br>悔い【くい】regret, repentance <br>悔恨【かいこん】regret, remorse, repentance"
怪,heart + holy = SUSPICIOUS・MYSTERY,"怪しい【あやしい】 suspicious, dubious, questionable <br>怪我【けが】 injury, wound,  mistake <br>怪物【かいぶつ】 monster <br>怪しむ【あやしむ】 to suspect"
憎,heart + cross tv on a rack = HATE・DETEST,"憎らしい【にくらしい】 hateful, detestable, horrible <br>憎い【にくい】 hateful, detestable, poor-looking <br>憎悪【ぞうお】 hatred, loathing <br>憎む【にくむ】 to hate, detest"
惜,heart + old times = REGRET・PITY,"惜しい【おしい】 regrettable, disappointing, unfortunate, precious, valuable <br>惜しむ【おしむ】 to be frugal, to value,  hold dear, regret <br>痛惜【つうせき】 pity, regret, sympathy <br>惜しみなく【おしみなく】 generously, without hesitation"
恋,special lid cover + heart = YEARN・MISS,"恋しい【こいしい】 yearned for, longed for, missed <br>恋する【こいする】 to fall in love <br>恋愛【れんあい】 love-making, passion <br>恋人【こいびと】 lover, sweetheart"
愛,clawed heart + winter = LOVE・AFFECTION,"愛しい【いとしい】 lovely, dear, beloved <br>愛する【あいする】 to love <br>愛情【あいじょう】 love, affection <br>愛想【あいそ】 amiability, fondness, liking"
緩,thread + clawed friend = LOOSE・SLACKEN,"緩い【ゆるい】 loose, lenient, lax <br>緩める【ゆるめる】 to loosen, slacken, relax <br>緩和【かんわ】 relief, mitigation, alleviation <br>緩慢【 かんまん】 slow, sluggish, dull, lax, sloppy"
温,water + day + plate = WARM,"温い【ぬるい】 lukewarm, tepid, lenient <br>温める【あたためる】 to warm up, heat up <br>温泉【おんせん】 hot spring <br>体温【 たいおん】 body temperature"
濃,water + song of the dragon = DEEP・DENSE,"濃い【こい】 deep, thick, strong <br>濃度【のうど】 concentration, density <br>濃厚【のうこう】 rich, strong, heavy, thick, dense <br>濃縮【 のうしゅく】 concentration, enrichment, condensation"
羨,sheep + water gap = ENVIOUS・JEALOUS,"羨ましい【うらやましい】 envious, jealous <br>羨む【うらやむ】 to envy, be jealous of <br>羨望【 せんぼう】 envy <br>羨み【 うらやみ】 envy"
